Bandit,Reward,Algorithm
3,3.9329381337315605,Epsilon-Greedy
3,4.8127670432790435,Epsilon-Greedy
3,5.267163499810784,Epsilon-Greedy
3,6.294587880047992,Epsilon-Greedy
3,3.680075458878621,Epsilon-Greedy
3,3.914691411617774,Epsilon-Greedy
3,3.161120650891576,Epsilon-Greedy
3,3.9941351787222357,Epsilon-Greedy
3,3.735968831155599,Epsilon-Greedy
3,3.955040416351828,Epsilon-Greedy
3,6.185373091205848,Epsilon-Greedy
3,4.175252667048973,Epsilon-Greedy
3,3.9958945966639954,Epsilon-Greedy
3,3.80687581644133,Epsilon-Greedy
3,4.5099158741000505,Epsilon-Greedy
3,4.282165623672657,Epsilon-Greedy
3,4.147935089322905,Epsilon-Greedy
3,4.990709683184673,Epsilon-Greedy
3,2.7956162452952498,Epsilon-Greedy
3,3.3315497514845607,Epsilon-Greedy
3,3.9269247836014807,Epsilon-Greedy
3,4.507479207111374,Epsilon-Greedy
3,2.0422930513943713,Epsilon-Greedy
3,3.369606422606405,Epsilon-Greedy
3,5.7896515523402154,Epsilon-Greedy
3,5.171024302661211,Epsilon-Greedy
3,4.636297022896044,Epsilon-Greedy
3,4.177578576649678,Epsilon-Greedy
3,3.5997443566379776,Epsilon-Greedy
3,4.503477845371654,Epsilon-Greedy
3,5.2872019436060125,Epsilon-Greedy
3,4.5523905797634,Epsilon-Greedy
3,3.6451182054153315,Epsilon-Greedy
3,1.7945778638882084,Epsilon-Greedy
3,4.758317404210297,Epsilon-Greedy
3,4.802584005398106,Epsilon-Greedy
3,3.381767084558488,Epsilon-Greedy
3,3.721718809910453,Epsilon-Greedy
3,4.448060599078434,Epsilon-Greedy
3,2.9539270460647757,Epsilon-Greedy
3,4.093279860182764,Epsilon-Greedy
3,4.198679074595578,Epsilon-Greedy
3,2.7981898220503645,Epsilon-Greedy
3,4.261739883008518,Epsilon-Greedy
3,4.05080745683088,Epsilon-Greedy
3,4.303892300299765,Epsilon-Greedy
3,3.3250833637052253,Epsilon-Greedy
3,4.600791412349249,Epsilon-Greedy
3,3.885767810100511,Epsilon-Greedy
3,2.7976096393589533,Epsilon-Greedy
3,1.217872689236863,Epsilon-Greedy
3,4.890130783816007,Epsilon-Greedy
3,5.340527074744114,Epsilon-Greedy
3,2.9240409874865536,Epsilon-Greedy
3,3.8454471119002167,Epsilon-Greedy
3,3.1444631364040974,Epsilon-Greedy
3,4.552010121700347,Epsilon-Greedy
3,2.1406258030690415,Epsilon-Greedy
3,4.262874658279419,Epsilon-Greedy
3,4.109766008489531,Epsilon-Greedy
3,3.3377185103345077,Epsilon-Greedy
3,4.88727723246711,Epsilon-Greedy
3,3.154622284450631,Epsilon-Greedy
3,3.974297875886297,Epsilon-Greedy
3,5.168986661094363,Epsilon-Greedy
3,2.207215168651822,Epsilon-Greedy
3,5.285516313791752,Epsilon-Greedy
3,3.7382990783025463,Epsilon-Greedy
3,4.073404312067439,Epsilon-Greedy
3,4.603350255940434,Epsilon-Greedy
3,3.8473549346393385,Epsilon-Greedy
3,4.67143879375638,Epsilon-Greedy
3,4.533578258155498,Epsilon-Greedy
3,4.29188805559565,Epsilon-Greedy
3,4.305084892179744,Epsilon-Greedy
3,2.1734973088723386,Epsilon-Greedy
3,4.6267914305869144,Epsilon-Greedy
3,4.7617276447865935,Epsilon-Greedy
3,3.7682911122279137,Epsilon-Greedy
3,5.634328482582119,Epsilon-Greedy
3,4.537699951361989,Epsilon-Greedy
3,3.6391405145422313,Epsilon-Greedy
3,3.848116894822827,Epsilon-Greedy
3,1.9712157484872241,Epsilon-Greedy
3,4.61657922232946,Epsilon-Greedy
3,5.440238434457448,Epsilon-Greedy
3,4.087373734729826,Epsilon-Greedy
3,3.0184398813346185,Epsilon-Greedy
3,4.637390466526542,Epsilon-Greedy
3,2.8280270604573117,Epsilon-Greedy
3,4.991041701585318,Epsilon-Greedy
3,3.229652138815738,Epsilon-Greedy
3,2.8653564567861727,Epsilon-Greedy
3,3.563442048633655,Epsilon-Greedy
3,3.678435140888887,Epsilon-Greedy
3,3.8944358029718598,Epsilon-Greedy
3,3.759402232567455,Epsilon-Greedy
3,4.1318172358143945,Epsilon-Greedy
3,2.9160042315994588,Epsilon-Greedy
3,3.529055406122526,Epsilon-Greedy
3,2.671510634354427,Epsilon-Greedy
3,5.957115329068229,Epsilon-Greedy
3,3.7758727975218056,Epsilon-Greedy
3,3.9839684579618595,Epsilon-Greedy
3,2.655988970519773,Epsilon-Greedy
3,3.978850218357216,Epsilon-Greedy
3,2.4601998282333195,Epsilon-Greedy
3,1.8776337620646677,Epsilon-Greedy
3,5.626303137728478,Epsilon-Greedy
3,3.012403957367922,Epsilon-Greedy
3,3.766407690676781,Epsilon-Greedy
3,4.439808853277275,Epsilon-Greedy
3,4.545973467465159,Epsilon-Greedy
3,4.969415313096346,Epsilon-Greedy
3,3.7497383829713256,Epsilon-Greedy
3,3.5193464976941966,Epsilon-Greedy
3,5.208401148429207,Epsilon-Greedy
3,3.966953786917305,Epsilon-Greedy
3,4.433973357502612,Epsilon-Greedy
3,3.243960170956525,Epsilon-Greedy
3,4.4504647180454295,Epsilon-Greedy
3,2.3098502163026433,Epsilon-Greedy
3,5.040505124448769,Epsilon-Greedy
3,3.2550360569818775,Epsilon-Greedy
3,3.7958044111643483,Epsilon-Greedy
3,1.5894517317125332,Epsilon-Greedy
3,3.518845593136134,Epsilon-Greedy
3,3.379738077391737,Epsilon-Greedy
3,2.653522207587746,Epsilon-Greedy
3,4.669275820091413,Epsilon-Greedy
3,3.482439736013938,Epsilon-Greedy
3,5.744721431924012,Epsilon-Greedy
3,5.821740960554015,Epsilon-Greedy
3,5.464316187061187,Epsilon-Greedy
3,3.7796689309535725,Epsilon-Greedy
3,2.7990751423986966,Epsilon-Greedy
3,4.4543496854124935,Epsilon-Greedy
3,3.7342195064464185,Epsilon-Greedy
3,4.887173517445944,Epsilon-Greedy
3,3.4601846286669824,Epsilon-Greedy
3,3.204585176418316,Epsilon-Greedy
3,3.779625004440037,Epsilon-Greedy
3,4.9672324448870135,Epsilon-Greedy
3,4.356500736340191,Epsilon-Greedy
3,3.069873744200514,Epsilon-Greedy
3,5.721878103397755,Epsilon-Greedy
3,4.350515455574827,Epsilon-Greedy
3,2.7822247659317343,Epsilon-Greedy
3,2.3676387992875716,Epsilon-Greedy
3,3.4269628855044934,Epsilon-Greedy
3,5.1897399972610945,Epsilon-Greedy
3,5.127234220288451,Epsilon-Greedy
3,5.133012907850029,Epsilon-Greedy
3,4.3005843241838155,Epsilon-Greedy
3,3.537634330261293,Epsilon-Greedy
3,5.131569249611619,Epsilon-Greedy
3,3.7557037895208025,Epsilon-Greedy
3,2.7293290584024628,Epsilon-Greedy
3,5.035757666889282,Epsilon-Greedy
3,3.29731609088021,Epsilon-Greedy
3,4.05972808617514,Epsilon-Greedy
3,6.289347491157396,Epsilon-Greedy
3,4.397179675594653,Epsilon-Greedy
3,2.200108469657627,Epsilon-Greedy
3,3.769277654660531,Epsilon-Greedy
3,4.135578056038212,Epsilon-Greedy
3,3.1455842968876757,Epsilon-Greedy
3,5.916619182041119,Epsilon-Greedy
